DIA,Usos bicis abono anual ,Usos bicis abono ocasional ,Usos bicis total,,Usos abono anual acumulado,Usos abono ocasional acumulado,Usos total acumulado desde inicio,,Acumulado mes total,,,
6/21/14,,,,,,,,,,,,
6/22/14,,,,,,,,,,,,
6/23/14,17,,17,,17,,17,,,,,
6/24/14,24,,24,,41,,41,,,,,
6/25/14,105,,105,,146,,146,,,,,
6/26/14,120,,120,,266,,266,,,,,
6/27/14,131,,131,,397,,397,,,,,
6/28/14,101,,101,,498,,498,,,,,
6/29/14,107,,107,,605,,605,,,,,
6/30/14,121,,121,,726,,726,,726,,,
7/1/14,124,,124,,850,,850,,,,,
7/2/14,128,,128,,978,,978,,,,,
7/3/14,85,,85,,"1,063",,"1,063",,,,,
7/4/14,121,,121,,"1,184",,"1,184",,,,,
7/5/14,783,,783,,"1,967",,"1,967",,,,,
7/6/14,"1,230",,"1,230",,"3,197",,"3,197",,,,,
7/7/14,"1,324",,"1,324",,"4,521",,"4,521",,,,,
7/8/14,"1,774",,"1,774",,"6,295",,"6,295",,,,,
7/9/14,"1,874",,"1,874",,"8,169",,"8,169",,,,,
7/10/14,"2,266",,"2,266",,"10,435",,"10,435",,,,,
7/11/14,"2,212",,"2,212",,"12,647",,"12,647",,,,,
7/12/14,"1,949",,"1,949",,"14,596",,"14,596",,,,,
7/13/14,"1,790",,"1,790",,"16,386",,"16,386",,,,,
7/14/14,"2,311",,"2,311",,"18,697",,"18,697",,,,,
7/15/14,"2,537",,"2,537",,"21,234",,"21,234",,,,,
7/16/14,"2,673",,"2,673",,"23,907",,"23,907",,,,,
7/17/14,"2,651",,"2,651",,"26,558",,"26,558",,,,,
7/18/14,"2,547",,"2,547",,"29,105",,"29,105",,,,,
7/19/14,"2,359",,"2,359",,"31,464",,"31,464",,,,,
7/20/14,"2,371",,"2,371",,"33,835",,"33,835",,,,,
7/21/14,"2,676",,"2,676",,"36,511",,"36,511",,,,,
7/22/14,"2,935",,"2,935",,"39,446",,"39,446",,,,,
7/23/14,"2,927",,"2,927",,"42,373",,"42,373",,,,,
7/24/14,"3,204",,"3,204",,"45,577",,"45,577",,,,,
7/25/14,"3,084",,"3,084",,"48,661",,"48,661",,,,,
7/26/14,"2,467",,"2,467",,"51,128",,"51,128",,,,,
7/27/14,"2,321",,"2,321",,"53,449",,"53,449",,,,,
7/28/14,"2,894",,"2,894",,"56,343",,"56,343",,,,,
7/29/14,"3,168",,"3,168",,"59,511",,"59,511",,,,,
7/30/14,"3,236",,"3,236",,"62,747",,"62,747",,,,,
7/31/14,"3,365",,"3,365",,"66,112",,"66,112",,"65,386",,,
8/1/14,"3,048",,"3,048",,"69,160",,"69,160",,,,,
8/2/14,"2,532",,"2,532",,"71,692",,"71,692",,,,,
8/3/14,"2,624",,"2,624",,"74,316",,"74,316",,,,,
8/4/14,"2,813",,"2,813",,"77,129",,"77,129",,,,,
8/5/14,"2,830",,"2,830",,"79,959",,"79,959",,,,,
8/6/14,"3,054",,"3,054",,"83,013",,"83,013",,,,,
8/7/14,"2,967",,"2,967",,"85,980",,"85,980",,,,,
8/8/14,"2,907",,"2,907",,"88,887",,"88,887",,,,,
8/9/14,"2,582",,"2,582",,"91,469",,"91,469",,,,,
8/10/14,"2,687",,"2,687",,"94,156",,"94,156",,,,,
8/11/14,"2,900",,"2,900",,"97,056",,"97,056",,,,,
8/12/14,"3,008",,"3,008",,"100,064",,"100,064",,,,,
8/13/14,"3,102",,"3,102",,"103,166",,"103,166",,,,,
8/14/14,"2,791",,"2,791",,"105,957",,"105,957",,,,,
8/15/14,"2,392",,"2,392",,"108,349",,"108,349",,,,,
8/16/14,"2,254",,"2,254",,"110,603",,"110,603",,,,,
8/17/14,"2,444",,"2,444",,"113,047",,"113,047",,,,,
8/18/14,"2,945",,"2,945",,"115,992",,"115,992",,,,,
8/19/14,"3,155",,"3,155",,"119,147",,"119,147",,,,,
8/20/14,"3,358",,"3,358",,"122,505",,"122,505",,,,,
8/21/14,"3,678",,"3,678",,"126,183",,"126,183",,,,,
8/22/14,"3,419",,"3,419",,"129,602",,"129,602",,,,,
8/23/14,"3,158",,"3,158",,"132,760",,"132,760",,,,,
