crime_type,crime_location,time_occ,cordinates
VEHICLE - STOLEN,STREET,2300,"-118.3157, 34.0454"
VEHICLE - STOLEN,STREET,1800,"-118.2717, 33.9572"
VEHICLE - STOLEN,PARKING LOT,2230,"-118.2048, 34.1211"
VEHICLE - STOLEN,STREET,1600,"-118.3987, 34.241"
VEHICLE - STOLEN,STREET,1600,"-118.4589, 34.3147"
VEHICLE - STOLEN,STREET,2100,"-118.4517, 34.2354"
VEHICLE - STOLEN,STREET,1315,"-118.2671, 34.0294"
VEHICLE - STOLEN,STREET,1230,"-118.4793, 34.2139"
VEHICLE - STOLEN,STREET,1800,"-118.2153, 34.1351"
VEHICLE - STOLEN,STREET,1615,"-118.429, 34.2531"
VEHICLE - STOLEN,STREET,2000,"-118.2783, 33.9651"
VEHICLE - STOLEN,STREET,2200,"-118.2105, 34.0896"
BURGLARY FROM VEHICLE,STREET,1600,"-118.25, 34.0825"
VEHICLE - STOLEN,STREET,2100,"-118.1958, 34.1059"
VEHICLE - STOLEN,STREET,1530,"-118.2739, 33.9738"
VEHICLE - STOLEN,STREET,2200,"-118.2827, 33.9824"
VEHICLE - STOLEN,STREET,2000,"-118.3399, 33.9872"
VEHICLE - STOLEN,STREET,2230,"-118.2695, 33.9722"
VEHICLE - STOLEN,STREET,2305,"-118.2739, 33.9869"
VEHICLE - STOLEN,STREET,1000,"-118.2671, 34.0294"
VEHICLE - STOLEN,STREET,2230,"-118.2718, 33.9834"
VEHICLE - STOLEN,STREET,1700,"-118.2449, 33.9971"
VEHICLE - STOLEN,STREET,1300,"-118.2652, 33.9844"
INDECENT EXPOSURE,SIDEWALK,1530,"-118.2783, 33.9851"
VEHICLE - STOLEN,PARKING LOT,1430,"-118.2392, 34.0039"
VEHICLE - STOLEN,STREET,2000,"-118.2784, 34.0073"
VEHICLE - STOLEN,PARKING LOT,2200,"-118.2497, 34.0057"
VEHICLE - STOLEN,STREET,1200,"-118.2671, 34.0294"
VEHICLE - STOLEN,STREET,1615,"-118.2691, 34.0285"
VEHICLE - STOLEN,STREET,1150,"-118.2695, 33.9834"
VEHICLE - STOLEN,STREET,2200,"-118.2711, 34.0283"
VEHICLE - STOLEN,STREET,2000,"-118.2633, 34.0225"
